City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,12.12,92,82,1.34,NZ,1738698442
1,wailua homesteads,22.0669,-159.378,21.44,77,20,4.63,US,1738698443
2,grytviken,-54.2811,-36.5092,5.2,68,25,10.81,GS,1738698444
3,blackmans bay,-43.0167,147.3167,12.07,75,40,2.36,AU,1738698446
4,iqaluit,63.7506,-68.5145,-26.15,64,20,4.63,CA,1738698448
5,invercargill,-46.4,168.35,11.68,95,89,0.89,NZ,1738698449
6,bethel,41.3712,-73.414,4.97,45,44,4.92,US,1738698451
7,vorkuta,67.5,64.0,-23.61,99,80,0.92,RU,1738698452
8,funafuti,-8.5243,179.1942,29.0,74,40,5.14,TV,1738698453
9,severo-yeniseyskiy,60.3725,93.0408,-27.02,100,48,1.06,RU,1738698454
10,kailua-kona,19.6406,-155.9956,26.27,58,0,1.54,US,1738698455
11,meadow lakes,61.6247,-149.6011,-12.18,89,0,0.0,US,1738698456
12,callaway,30.153,-85.5699,25.02,69,40,3.58,US,1738698270
13,yelizovo,53.1873,158.3805,-7.92,73,20,2.0,RU,1738698459
14,west island,-12.1568,96.8225,27.99,94,20,5.14,CC,1738698460
15,prince rupert,54.3161,-130.3201,-0.95,25,0,9.26,CA,1738698461
16,kurumkan,54.3,110.3,-26.8,88,24,2.54,RU,1738698462
17,egersund,58.4513,5.9997,6.02,94,100,7.09,NO,1738698463
18,bethanie,-26.4833,17.15,28.13,35,96,4.21,NA,1738698466
19,yellowknife,62.456,-114.3525,-13.1,96,100,4.12,CA,1738698444
20,puerto armuelles,8.2833,-82.8667,26.72,56,86,0.45,PA,1738698468
21,whitehorse,60.7161,-135.0538,-16.22,81,100,1.54,CA,1738698218
22,port lincoln,-34.7333,135.8667,17.27,72,33,7.69,AU,1738698400
23,cabo san lucas,22.8909,-109.9124,27.17,17,0,4.12,MX,1738698456
24,marsh harbour,26.5412,-77.0636,23.21,71,0,3.22,BS,1738698473
25,kidal,18.4411,1.4078,25.0,10,100,5.23,ML,1738698474
26,isafjordur,66.0755,-23.124,-3.56,62,100,12.19,IS,1738698475
27,uturoa,-16.7333,-151.4333,27.92,71,22,4.22,PF,1738698476
28,adamstown,-25.066,-130.1015,25.23,76,7,6.09,PN,1738698478
29,papatowai,-46.5619,169.4708,14.62,60,30,0.55,NZ,1738698479
30,ilulissat,69.2167,-51.1,-19.99,71,75,6.17,GL,1738698480
31,lebu,-37.6167,-73.65,18.56,62,0,3.28,CL,1738698481
32,jamestown,42.097,-79.2353,-3.2,82,100,6.69,US,1738698428
33,verkhnevilyuysk,63.4453,120.3167,-29.97,95,100,3.77,RU,1738698483
34,comodoro rivadavia,-45.8667,-67.5,18.92,42,0,6.69,AR,1738698188
35,kingston,17.997,-76.7936,30.09,62,20,2.06,JM,1738698457
36,poyang,28.9924,116.6675,6.93,53,0,2.32,CN,1738698487
37,xiongzhou,25.1167,114.3,5.88,66,0,0.62,CN,1738698488
38,bakanas,44.8081,76.2772,-9.59,90,12,1.99,KZ,1738698489
39,st ives,50.2086,-5.4875,8.0,74,2,8.55,GB,1738698490
40,paracatu,-17.2222,-46.8747,26.12,77,96,1.93,BR,1738698480
41,bathurst,-33.4166,149.5806,18.07,84,0,0.45,AU,1738698493
42,nuuk,64.1835,-51.7216,-11.66,61,40,5.66,GL,1738698494
43,sitka,57.0531,-135.33,1.03,56,2,2.47,US,1738698365
44,sakiet sidi youssef,36.2229,8.3555,6.33,90,100,1.64,TN,1738698496
45,punta arenas,-53.15,-70.9167,12.06,62,75,13.38,CL,1738698430
46,port-aux-francais,-49.35,70.2167,5.89,99,100,8.07,TF,1738698499
47,myrtle beach,33.6891,-78.8867,26.03,60,0,0.45,US,1738698099
48,papao,-17.75,-149.55,29.82,70,3,3.36,PF,1738698502
49,albany,42.6001,-73.9662,0.23,52,52,4.47,US,1738698296
50,ribeira grande,38.5167,-28.7,15.99,94,75,8.75,PT,1738698504
51,agua preta,-8.7075,-35.5306,27.08,67,95,5.23,BR,1738698506
